reading images completed in: 0.0336442 seconds.
img 355: Caracas1967_12.jpg score: 2.8171 / 4
img 356: Caracas1967_13.jpg score: 0 / 1
img 357: Caracas1967_14.jpg score: 0.905687 / 2
img 358: Chichi1999_01.jpg score: 0.939367 / 2
img 359: Chichi1999_02.jpg score: 0.83386 / 2
img 360: Chichi1999_03.jpg score: 0.0126904 / 2
img 361: Chichi1999_04.jpg score: 2.23708 / 3
img 362: Chichi1999_05.jpg score: 2.32281 / 4
img 363: Chichi1999_06.jpg score: 4.03075 / 6
img 364: Chichi1999_07.jpg score: 3.88059 / 7
img 365: Chichi1999_08.jpg score: 0.728724 / 1
img 366: Chichi1999_09.jpg score: 0.979707 / 4
img 367: Chichi1999_10.jpg score: 0.429571 / 1
img 368: Chichi1999_11.jpg score: 0.919984 / 2
img 369: Chichi1999_12.jpg score: 0.704505 / 1
img 370: Chichi1999_13.jpg score: 0.635362 / 1
img 371: Chichi1999_14.jpg score: 11.3925 / 17
img 372: Chichi1999_15.jpg score: 0.0571485 / 1
img 373: Chichi1999_16.jpg score: 0.0670827 / 1
img 374: Chichi1999_17.jpg score: 0.660528 / 1
img 375: Chichi1999_18.jpg score: 3.75806 / 6
img 376: Chichi1999_19.jpg score: 0.773558 / 2
img 377: YogyakartaInd2006_03.jpg score: 3.48617 / 8
img 378: Chichi1999_20.jpg score: 1.03542 / 2
img 379: Chichi1999_21.jpg score: 3.44498 / 8
img 380: Chichi1999_22.jpg score: 2.58225 / 4
img 381: Chichi1999_23.jpg score: 5.94867 / 10
img 382: Chichi1999_24.jpg score: 2.56345 / 5
img 383: Chichi1999_25.jpg score: 0.669519 / 3
img 384: Chichi1999_26.jpg score: 1.4268 / 6
img 385: Chichi1999_27.jpg score: 0.0335786 / 1
img 386: Chichi1999_28.jpg score: 1.133 / 4
img 387: Chichi1999_29.jpg score: 1.04838 / 3
img 388: Chichi1999_30.jpg score: 0.97184 / 4
img 389: Chichi1999_31.jpg score: 0.632932 / 2
img 390: Chichi1999_32.jpg score: 1.58965 / 4
img 391: Chichi1999_33.jpg score: 2.61283 / 6
img 392: Chichi1999_34.jpg score: 0.734858 / 1
img 393: Duzce1999_01.jpg score: 0.231985 / 2
img 394: Duzce1999_02.jpg score: 0.429791 / 1
img 395: Duzce1999_03.jpg score: 1.04384 / 3
img 396: Gediz1970_01.jpg score: 1.0513 / 3
img 397: Guatemala1976_01.jpg score: 1.53492 / 6
img 398: Guatemala1976_02.jpg score: 0.297704 / 2
img 399: Guatemala1976_03.jpg score: 0.669998 / 1
img 400: Guatemala1976_04.jpg score: 1.51969 / 4
img 401: Guatemala1976_05.jpg score: 1.26266 / 3
img 402: Guatemala1976_06.jpg score: 0.010458 / 1
img 403: Guatemala1976_07.jpg score: 1.363 / 3
img 404: Guatemala1976_08.jpg score: 1.80386 / 3
img 405: Guatemala1976_09.jpg score: 5.10284 / 8
img 406: Guatemala1976_10.jpg score: 0.73357 / 3
img 407: Guatemala1976_11.jpg score: 0.038835 / 1
img 408: GujaratIndia2001_01.jpg score: 1.47333 / 4
img 409: Haiti2010_01.jpg score: 1.69875 / 5
img 410: Haiti2010_02.jpg score: 1.2569 / 2
img 411: Haiti2010_03.jpg score: 1.28066 / 4
img 412: Haiti2010_04.jpg score: 0.595863 / 3
img 413: Haiti2010_05.jpg score: 1.39199 / 4
img 414: Haiti2010_06.jpg score: 3.07845 / 7
img 415: ImperialValley1979_01.jpg score: 8.48278 / 11
img 416: ImperialValley1979_02.jpg score: 2.51977 / 6
img 417: ImperialValley1979_03.jpg score: 3.11656 / 7
img 418: Izmit1999_01.jpg score: 2.48623 / 5
img 419: Izmit1999_02.jpg score: 0.68932 / 1
img 420: Izmit1999_03.jpg score: 4.12474 / 8
img 421: Izmit1999_04.jpg score: 4.00094 / 10
img 422: Izmit1999_05.jpg score: 0.556612 / 1
img 423: Izmit1999_06.jpg score: 1.97029 / 6
img 424: Izmit1999_07.jpg score: 2.73575 / 7
img 425: Izmit1999_08.jpg score: 2.63492 / 7
img 426: Izmit1999_09.jpg score: 3.61885 / 6
img 427: Izmit1999_10.jpg score: 5.25953 / 11
img 428: Izmit1999_11.jpg score: 1.86559 / 5
img 429: Izmit1999_12.jpg score: 9.33022 / 18
img 430: Izmit1999_13.jpg score: 4.48614 / 9
img 431: Izmit1999_14.jpg score: 4.63146 / 9
img 432: Izmit1999_15.jpg score: 0.355394 / 1
img 433: Izmit1999_16.jpg score: 1.29622 / 4
img 434: Izmit1999_17.jpg score: 0.0325581 / 1
img 435: Izmit1999_18.jpg score: 0.398301 / 2
img 436: Izmit1999_19.jpg score: 1.30116 / 4
img 437: Kobe1995_01.jpg score: 0.0417226 / 1
img 438: Kobe1995_02.jpg score: 0.768925 / 1
img 439: Kobe1995_03.jpg score: 0.594748 / 1
img 440: Kobe1995_04.jpg score: 0.629996 / 1
img 441: Kobe1995_05.jpg score: 2.59325 / 5
img 442: Kobe1995_06.jpg score: 0.700848 / 2
img 443: Kobe1995_07.jpg score: 17.8817 / 26
img 444: Kobe1995_08.jpg score: 0.36147 / 1
img 445: Kobe1995_09.jpg score: 1.24615 / 4
img 446: SanSalvador_1986_01.jpg score: 0.128692 / 2
img 447: SanSalvador_1986_02.jpg score: 6.36754 / 9
img 448: SikkimIndia2001_01.jpg score: 0.0121212 / 1
img 449: SikkimIndia2001_02.jpg score: 4.49038 / 8
img 450: SikkimIndia2001_03.jpg score: 0.897538 / 3
img 451: SikkimIndia2001_04.jpg score: 0.929579 / 3
img 452: SumatraInd2009_01.jpg score: 0.787271 / 1
img 453: SumatraInd2009_02.jpg score: 0 / 1
img 454: WhittierNarrows1987_01.jpg score: 0.491939 / 1
img 455: WhittierNarrows1987_02.jpg score: 0.0190948 / 1
img 456: WhittierNarrows1987_03.jpg score: 0.225088 / 1
img 457: WhittierNarrows1987_04.jpg score: 0.874653 / 3
img 458: YogyakartaInd2006_01.jpg score: 0.91589 / 3
img 459: YogyakartaInd2006_02.jpg score: 1.45907 / 3
img 460: Anchorage1964_01.jpg score: 0.813502 / 2
img 461: Anchorage1964_02.jpg score: 11.3595 / 19
img 462: Anchorage1964_03.jpg score: 2.03001 / 3
img 463: Anchorage1964_04.jpg score: 30.7639 / 39
img 464: Anchorage1964_05.jpg score: 17.7151 / 29
img 465: Anchorage1964_06.jpg score: 1.40305 / 3
img 466: Anchorage1964_07.jpg score: 4.28294 / 9
img 467: Anchorage1964_08.jpg score: 3.03683 / 6
img 468: Anchorage1964_09.jpg score: 7.98761 / 19
img 469: Anchorage1964_10.jpg score: 1.57833 / 4
img 470: Anchorage1964_11.jpg score: 4.11791 / 8
img 471: Anchorage1964_12.jpg score: 2.79445 / 5
img 472: Anchorage1964_13.jpg score: 1.77176 / 3
img 473: Anchorage1964_14.jpg score: 6.81946 / 12
img 474: Anchorage1964_15.jpg score: 5.21551 / 9
img 475: Anchorage1964_16.jpg score: 1.78492 / 6
img 476: Anchorage1964_17.jpg score: 0.310715 / 3
img 477: Anchorage1964_18.jpg score: 5.93977 / 10
img 478: Anchorage1964_19.jpg score: 11.7132 / 18
